 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
  2%      0      0      0       7      54     52      80       0       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       7      0      0       0      0       0      0       0      0      0       0      0      0
  2%      0      0      0     258      24     51       0      24       0      0    45s    98%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%     258      0      0       0      0       0      0       0      0      0       0      0      0
  2%      0      0      0     981      12     12      24       0       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%     981      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0      49      33     33       0      12       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%      49      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0       6      33     30       0      24       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       6      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0       0      24     26      12       0       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       0      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0       3      30     28    1600    1428       0      0    45s   100%    4%   0--0--0--0--0--0--0--0    0--0--0--0      0%       3      0      0       0      0       0      0       0      0      0       0      0      0
  3%      0      0      0       5      10     11      32       0       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       5      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0      10      37     35      32      12       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%      10      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0       9      24     23      20      24       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       9      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0       0      23     23       0       0       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       0      0      0       0      0       0      0       0      0      0       0      0      0
  2%      0      0      0       0      25     23      32      24       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       0      0      0       0      0       0      0       0      0      0       0      0      0
  2%      0      0      0       9       8      9      12       0       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       9      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0      19      33     33       0      12       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%      19      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0       6      23     24      12      24       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       6      0      0       0      0       0      0       0      0      0       0      0      0
  1%      0      0      0       3      20     20     232       0       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       3      0      0       0      0       0      0       0      0      0       0      0      0
  4%      0      0      0     214      34     33    2456    1660       0      0    45s    99%    1%   0--0--0--0--0--0--0--0    0--0--0--0      0%     214      0      0       0      0       0      0       0      0      0       0      0      0
  3%     94      0      0     108      45     42      24       0       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%      14      0      0       0      0       0      0       0      0      0       0      0      0
  2%      0      0      0       3      35     33       0      12       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       3      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
  1%      2      0      0       8      24     25       0      24       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       6      0      0       0      0       0      0       0      0      0       0      0      0
  2%      2      0      0      13      20     22      28       0       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%      11      0      0       0      0       0      0       0      0      0       0      0      0
  3%     10      0      0      15      47     47       0      24       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       5      0      0       0      0       0      0       0      0      0       0      0      0
  2%     16      0      0      21      57     54      12       0       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       5      0      0       0      0       0      0       0      0      0       0      0      0
  2%     22      0      0      36      73     73      12      12       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%      14      0      0       0      0       0      0       0      0      0       0      0      0
  1%     21      0      0      30      49     47       0      24       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       9      0      0       0      0       0      0       0      0      0       0      0      0
  1%     35      0      0      35      25     26       0       0       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       0      0      0       0      0       0      0       0      0      0       0      0      0
  5%     33      0      0     762      82    110    3548    2564       0      0    45s    99%    1%   0--0--0--0--0--0--0--0    0--0--0--0      0%     729      0      0       0      0       0      0       0      0      0       0      0      0
  3%     30      0      0      67      54     55     128       0       0      0    45s    98%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%      37      0      0       0      0       0      0       0      0      0       0      0      0
  3%     65      0      0      68      98     90       0      12       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       3      0      0       0      0       0      0       0      0      0       0      0      0
  2%     20      0      0      26      43     38      12      24       0      0    45s     -     0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       6      0      0       0      0       0      0       0      0      0       0      0      0
  2%      0      0      0       5      39     25       0       0       0      0    45s   100%    0%   0--0--0--0--0--0--0--0    0--0--0--0      0%       5      0      0       0      0       0      0       0      0      0       0      0      0
 25%  91038      0      0   91481   18405 287700  515584      24       0      0    45s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0      6%     443      0      0       0      0       0      0       0      0      0       0      0      0
 47% 233715      0      0  233722   60773 981958  1320060       0       0      0    45s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     10%       7      0      0       0      0       0      0       0      0      0       0      0      0
 54% 273976      0      0  273995   68159 1135736  1538849      12       0      0    45s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0      8%      19      0      0       0      0       0      0       0      0      0       0      0      0
 60% 325916      0      0  325923   81758 1383195  1831684      24       0      0    45s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     10%       7      0      0       0      0       0      0       0      0      0       0      0      0
 62% 328138      0      0  328138   82484 1403475  1840204       0       0      0    45s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     10%       0      0      0       0      0       0      0       0      0      0       0      0      0
 61% 321052      0      0  321056   79792 1363724  1802186    1814       0      0    45s    74%    3%   0--0--0--0--0--0--0--0    0--0--0--0      9%       4      0      0       0      0       0      0       0      0      0       0      0      0
 63% 348790      0      0  348794   84644 1455293  1951868       0       0      0    45s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     10%       4      0      0       0      0       0      0       0      0      0       0      0      0
 71% 409048      0      0  409048  101264 1744626  2282046      12       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     12%       0      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 80% 456349      0      0  456375  109600 1895238  2552260      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      26      0      0       0      0       0      0       0      0      0       0      0      0
 81% 461352      0      0  461352  114216 1986678  2584731       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
 78% 481496      0      0  481496  115906 2029366  2714777    7676       0      0     2     74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     17%       0      0      0       0      0       0      0       0      0      0       0      0      0
 81% 504650      0      0  504660  122505 2151811  2845517       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     17%      10      0      0       0      0       0      0       0      0      0       0      0      0
 78% 481613      0      0  481633  117614 2064680  2700484      12       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      20      0      0       0      0       0      0       0      0      0       0      0      0
 79% 488537      0      0  488544  119125 2088373  2731189      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       7      0      0       0      0       0      0       0      0      0       0      0      0
 79% 489591      0      0  489598  120693 2115932  2736747       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       7      0      0       0      0       0      0       0      0      0       0      0      0
 83% 486671      0      0  486886  117904 2070357  2729562    2346       0      0     2     74%    7%   0--0--0--0--0--0--0--0    0--0--0--0     17%     215      0      0       0      0       0      0       0      0      0       0      0      0
 80% 464916      0      0  464929  113347 1986998  2618230       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      13      0      0       0      0       0      0       0      0      0       0      0      0
 80% 498579      0      0  498583  120435 2106327  2811741      12       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       4      0      0       0      0       0      0       0      0      0       0      0      0
 79% 481239      0      0  481245  118937 2080892  2704592      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       6      0      0       0      0       0      0       0      0      0       0      0      0
 75% 455398      0      0  455400  117920 2063150  2554290       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       2      0      0       0      0       0      0       0      0      0       0      0      0
 79% 498333      0      0  498336  114378 1993274  2788296    7692       0      0     2     74%    5%   0--0--0--0--0--0--0--0    0--0--0--0     16%       3      0      0       0      0       0      0       0      0      0       0      0      0
 78% 477842      0      0  477848  116941 2045421  2671333       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       6      0      0       0      0       0      0       0      0      0       0      0      0
 86% 525072      0      0  525088  126571 2233591  2935105      12       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     19%      16      0      0       0      0       0      0       0      0      0       0      0      0
 81% 477368      0      0  477377  117863 2076892  2688591      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       9      0      0       0      0       0      0       0      0      0       0      0      0
 69% 384393      0      0  384393   97483 1688658  2163181       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     12%       0      0      0       0      0       0      0       0      0      0       0      0      0
